semester1,Institution1,Program,Degree_Level_Code,CIP,Program_status,ECount,GCount
2016-2017,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
2017-2018,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
2018-2019,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
2019-2020,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
2020-2021,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
2021-2022,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
2022-2023,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
2023-2024,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
2024-2025,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,1,
2014-2015,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2015-2016,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2016-2017,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2017-2018,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2018-2019,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2019-2020,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2020-2021,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2021-2022,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2022-2023,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2023-2024,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,,
2024-2025,Alice Lloyd College,Elementary Education and Teaching,U ,13.1202,A  ,3,
2014-2015,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,,
2015-2016,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,9,
2016-2017,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,25,
2017-2018,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,45,4
2018-2019,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,41,14
2019-2020,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,42,14
2020-2021,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,30,11
2021-2022,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,18,13
2022-2023,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,12,7
2023-2024,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,9,5
2024-2025,Asbury University,*Instructional Design & Media,B ,13.0501,A  ,6,
2014-2015,Asbury University,*Elementary Education,B ,13.1202,A  ,142,34
2015-2016,Asbury University,*Elementary Education,B ,13.1202,A  ,153,31
2016-2017,Asbury University,*Elementary Education,B ,13.1202,A  ,142,20
2017-2018,Asbury University,*Elementary Education,B ,13.1202,A  ,183,32
2018-2019,Asbury University,*Elementary Education,B ,13.1202,A  ,151,27
2019-2020,Asbury University,*Elementary Education,B ,13.1202,A  ,156,29
2020-2021,Asbury University,*Elementary Education,B ,13.1202,A  ,129,34
2021-2022,Asbury University,*Elementary Education,B ,13.1202,A  ,96,27
2022-2023,Asbury University,*Elementary Education,B ,13.1202,A  ,71,15
2023-2024,Asbury University,*Elementary Education,B ,13.1202,A  ,80,14
2024-2025,Asbury University,*Elementary Education,B ,13.1202,A  ,88,
2014-2015,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,5,1
2015-2016,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,6,2
2016-2017,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,8,
2017-2018,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,5,2
2018-2019,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,9,
2019-2020,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,13,3
2020-2021,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,12,2
2021-2022,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,9,5
2022-2023,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,7,2
2023-2024,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,9,1
2024-2025,Asbury University,*Middle School Grades 5-9,B ,13.1203,A  ,8,
2014-2015,Asbury University,*Art Education,B ,13.1302,A  ,5,
2015-2016,Asbury University,*Art Education,B ,13.1302,A  ,,
2016-2017,Asbury University,*Art Education,B ,13.1302,A  ,,
2017-2018,Asbury University,*Art Education,B ,13.1302,A  ,,
2018-2019,Asbury University,*Art Education,B ,13.1302,A  ,3,1
2019-2020,Asbury University,*Art Education,B ,13.1302,A  ,2,1
2020-2021,Asbury University,*Art Education,B ,13.1302,A  ,1,
2021-2022,Asbury University,*Art Education,B ,13.1302,A  ,,
2022-2023,Asbury University,*Art Education,B ,13.1302,A  ,4,
2023-2024,Asbury University,*Art Education,B ,13.1302,A  ,9,
2024-2025,Asbury University,*Art Education,B ,13.1302,A  ,9,
2014-2015,Asbury University,*Integrated Music Education,B ,13.1312,A  ,8,
2015-2016,Asbury University,*Integrated Music Education,B ,13.1312,A  ,9,2
2016-2017,Asbury University,*Integrated Music Education,B ,13.1312,A  ,11,1
2017-2018,Asbury University,*Integrated Music Education,B ,13.1312,A  ,10,3
2018-2019,Asbury University,*Integrated Music Education,B ,13.1312,A  ,14,2
2019-2020,Asbury University,*Integrated Music Education,B ,13.1312,A  ,13,2
2020-2021,Asbury University,*Integrated Music Education,B ,13.1312,A  ,7,
2021-2022,Asbury University,*Integrated Music Education,B ,13.1312,A  ,9,1
2022-2023,Asbury University,*Integrated Music Education,B ,13.1312,A  ,9,2
2023-2024,Asbury University,*Integrated Music Education,B ,13.1312,A  ,11,
2024-2025,Asbury University,*Integrated Music Education,B ,13.1312,A  ,10,
2014-2015,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,13,1
2015-2016,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,11,2
2016-2017,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,13,2
2017-2018,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,9,1
2018-2019,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,9,4
2019-2020,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,10,
2020-2021,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,12,2
2021-2022,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,8,4
2022-2023,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,6,2
2023-2024,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,4,3
2024-2025,Asbury University,*Health & Physical Education P-12,B ,13.1314,A  ,1,
2014-2015,Asbury University,*Principal Licensure,M ,13.0401,A  ,18,14
2015-2016,Asbury University,*Principal Licensure,M ,13.0401,A  ,10,6
2016-2017,Asbury University,*Principal Licensure,M ,13.0401,A  ,2,3
2017-2018,Asbury University,*Principal Licensure,M ,13.0401,A  ,1,2
2018-2019,Asbury University,*Principal Licensure,M ,13.0401,A  ,2,2
2019-2020,Asbury University,*Principal Licensure,M ,13.0401,A  ,,
2020-2021,Asbury University,*Principal Licensure,M ,13.0401,A  ,2,
2021-2022,Asbury University,*Principal Licensure,M ,13.0401,A  ,6,2
2022-2023,Asbury University,*Principal Licensure,M ,13.0401,A  ,6,3
2023-2024,Asbury University,*Principal Licensure,M ,13.0401,A  ,4,3
2024-2025,Asbury University,*Principal Licensure,M ,13.0401,A  ,2,
2014-2015,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,,
2015-2016,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,,
2016-2017,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,,
2017-2018,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,,
2018-2019,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,,
2019-2020,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,,
2020-2021,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,,
2021-2022,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,6,
2022-2023,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,4,1
2023-2024,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,5,1
2024-2025,Asbury University,"*Instructional Design, Innovation and Leadership",M ,13.0501,A  ,9,
2014-2015,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,24,10
2015-2016,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,10,5
2016-2017,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,9,6
2017-2018,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,8,2
2018-2019,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,10,3
2019-2020,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,7,6
2020-2021,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,9,1
2021-2022,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,17,4
2022-2023,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,16,10
2023-2024,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,13,5
2024-2025,Asbury University,*Learning & Behavior Disorders,M ,13.1001,A  ,18,
2014-2015,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,,
2015-2016,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,,
2016-2017,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,,
2017-2018,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,,
2018-2019,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,,
2019-2020,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,,
2020-2021,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,3,
2021-2022,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,10,
2022-2023,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,11,2
2023-2024,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,15,4
2024-2025,Asbury University,*Elementary Education P-5,M ,13.1202,A  ,14,
2014-2015,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,20,15
2015-2016,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,13,7
2016-2017,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,4,1
2017-2018,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,3,
2018-2019,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,6,1
2019-2020,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,6,3
2020-2021,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,4,2
2021-2022,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,2,
2022-2023,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,4,2
2023-2024,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,4,2
2024-2025,Asbury University,"*Teacher Education, Multiple Levels",M ,13.1206,A  ,,
2014-2015,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,,
2015-2016,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,,
2016-2017,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,5,4
2017-2018,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,9,2
2018-2019,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,8,9
2019-2020,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,4,3
2020-2021,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,5,1
2021-2022,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,2,1
2022-2023,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,4,1
2023-2024,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,4,3
2024-2025,Asbury University,*Literacy Specialist P-12,M ,13.1315,A  ,2,
2014-2015,Asbury University,*English as a Second Language,M ,13.1401,A  ,17,8
2015-2016,Asbury University,*English as a Second Language,M ,13.1401,A  ,17,6
2016-2017,Asbury University,*English as a Second Language,M ,13.1401,A  ,16,5
2017-2018,Asbury University,*English as a Second Language,M ,13.1401,A  ,23,8
2018-2019,Asbury University,*English as a Second Language,M ,13.1401,A  ,22,7
2019-2020,Asbury University,*English as a Second Language,M ,13.1401,A  ,26,7
2020-2021,Asbury University,*English as a Second Language,M ,13.1401,A  ,39,8
2021-2022,Asbury University,*English as a Second Language,M ,13.1401,A  ,40,10
2022-2023,Asbury University,*English as a Second Language,M ,13.1401,A  ,43,21
2023-2024,Asbury University,*English as a Second Language,M ,13.1401,A  ,47,12
2024-2025,Asbury University,*English as a Second Language,M ,13.1401,A  ,53,
2014-2015,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,63,18
2015-2016,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,80,23
2016-2017,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,77,28
2017-2018,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,105,22
2018-2019,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,97,16
2019-2020,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,82,18
2020-2021,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,79,20
2021-2022,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,72,17
2022-2023,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,76,19
2023-2024,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,100,22
2024-2025,Asbury University,*Principal Licensure/Instructional Supervisor,S ,13.0401,A  ,111,
2014-2015,Bellarmine University,*Elementary Education,B ,13.1202,A  ,109,20
2015-2016,Bellarmine University,*Elementary Education,B ,13.1202,A  ,114,27
2016-2017,Bellarmine University,*Elementary Education,B ,13.1202,A  ,94,28
2017-2018,Bellarmine University,*Elementary Education,B ,13.1202,A  ,78,13
2018-2019,Bellarmine University,*Elementary Education,B ,13.1202,A  ,84,18
2019-2020,Bellarmine University,*Elementary Education,B ,13.1202,A  ,85,17
2020-2021,Bellarmine University,*Elementary Education,B ,13.1202,A  ,88,18
2021-2022,Bellarmine University,*Elementary Education,B ,13.1202,A  ,85,18
2022-2023,Bellarmine University,*Elementary Education,B ,13.1202,A  ,90,20
2023-2024,Bellarmine University,*Elementary Education,B ,13.1202,A  ,84,17
2024-2025,Bellarmine University,*Elementary Education,B ,13.1202,A  ,78,
2014-2015,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,20,4
2015-2016,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,16,2
2016-2017,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,16,5
2017-2018,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,12,2
2018-2019,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,10,1
2019-2020,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,8,3
2020-2021,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,8,2
2021-2022,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,9,
2022-2023,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,8,3
2023-2024,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,9,
2024-2025,Bellarmine University,*Middle Grades Education,B ,13.1203,A  ,9,
2014-2015,Bellarmine University,*Secondary Education,B ,13.1205,A  ,20,3
2015-2016,Bellarmine University,*Secondary Education,B ,13.1205,A  ,30,3
2016-2017,Bellarmine University,*Secondary Education,B ,13.1205,A  ,37,2
2017-2018,Bellarmine University,*Secondary Education,B ,13.1205,A  ,44,2
2018-2019,Bellarmine University,*Secondary Education,B ,13.1205,A  ,46,9
2019-2020,Bellarmine University,*Secondary Education,B ,13.1205,A  ,20,5
2020-2021,Bellarmine University,*Secondary Education,B ,13.1205,A  ,22,11
2021-2022,Bellarmine University,*Secondary Education,B ,13.1205,A  ,21,
2022-2023,Bellarmine University,*Secondary Education,B ,13.1205,A  ,23,4
2023-2024,Bellarmine University,*Secondary Education,B ,13.1205,A  ,21,3
2024-2025,Bellarmine University,*Secondary Education,B ,13.1205,A  ,18,
2014-2015,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,,
2015-2016,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,,
2016-2017,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,6,
2017-2018,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,5,
2018-2019,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,11,
2019-2020,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,9,
2020-2021,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,9,1
2021-2022,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,7,
2022-2023,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,5,2
2023-2024,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,4,
2024-2025,Bellarmine University,*Doctor of Education,O ,13.0411,A  ,2,
2014-2015,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,69,3
2015-2016,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,50,4
2016-2017,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,57,8
2017-2018,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,45,8
2018-2019,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,49,8
2019-2020,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,51,1
2020-2021,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,62,6
2021-2022,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,51,5
2022-2023,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,58,4
2023-2024,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,52,9
2024-2025,Bellarmine University,*PhD in Education and Social Change,D ,13.0401,A  ,49,
2014-2015,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,,
2015-2016,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,19,
2016-2017,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,25,
2017-2018,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,28,2
2018-2019,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,30,4
2019-2020,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,32,3
2020-2021,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,28,6
2021-2022,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,31,3
2022-2023,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,26,4
2023-2024,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,24,6
2024-2025,Bellarmine University,*PhD in Leadership in Higher Education,D ,13.0406,A  ,16,
2014-2015,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,,
2015-2016,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,,
2016-2017,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,,
2017-2018,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,,
2018-2019,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,10,
2019-2020,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,28,5
2020-2021,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,28,15
2021-2022,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,20,12
2022-2023,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,13,10
2023-2024,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,10,4
2024-2025,Bellarmine University,*MEd in Higher Education Leadership and Social Justice,M ,13.0406,A  ,12,
2014-2015,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,3,1
2015-2016,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,5,
2016-2017,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,5,2
2017-2018,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,,
2018-2019,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,1,
2019-2020,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,1,1
2020-2021,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,,
2021-2022,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,,
2022-2023,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,,
2023-2024,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,,
2024-2025,Bellarmine University,*MAEd in Learning & Behavior Disorders,M ,13.1001,A  ,,
2014-2015,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,46,21
2015-2016,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,41,22
2016-2017,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,34,16
2017-2018,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,30,11
2018-2019,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,28,15
2019-2020,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,18,11
2020-2021,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,19,6
2021-2022,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,15,6
2022-2023,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,18,7
2023-2024,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,12,6
2024-2025,Bellarmine University,*MAT in Elementary Teaching,M ,13.1202,A  ,11,
2014-2015,Bellarmine University,*MAT in Middle School Teaching,M ,13.1203,A  ,28,13
2015-2016,Bellarmine University,*MAT in Middle School Teaching,M ,13.1203,A  ,20,14
